county,age_modifier,enrolment,toilets,learner_toilet_ratio,sex_modifier
Kericho,secondary,47115,2243.5714285714284,21,boys
Kericho,secondary,46110,2881.875,16,girls
Bomet,secondary,48590,2313.809523809524,21,boys
Bomet,secondary,47459,2372.95,20,girls
Kakamega,secondary,88816,3416,26,boys
Kakamega,secondary,94439,4497.0952380952385,21,girls
Vihiga,secondary,34772,1511.8260869565217,23,boys
Vihiga,secondary,41525,2076.25,20,girls
Bungoma,secondary,81970,3152.6923076923076,26,boys
Bungoma,secondary,86800,3616.6666666666665,24,girls
Busia,secondary,33922,1169.7241379310344,29,boys
Busia,secondary,37008,1370.6666666666667,27,girls
Siaya,secondary,54055,1930.5357142857142,28,boys
Siaya,secondary,52340,2180.8333333333335,24,girls
Kisumu,secondary,46818,1800.6923076923076,26,boys
Kisumu,secondary,51064,1964,26,girls
Homa Bay,secondary,61613,2369.730769230769,26,boys
Homa Bay,secondary,54802,2740.1,20,girls
Migori,secondary,49817,1916.0384615384614,26,boys
Migori,secondary,48403,2104.478260869565,23,girls
Kisii,secondary,70555,3359.7619047619046,21,boys
Kisii,secondary,68610,3611.0526315789475,19,girls
Nyamira,secondary,32414,1543.5238095238096,21,boys
Nyamira,secondary,31220,2401.5384615384614,13,girls
Nairobi City,secondary,38074,1269.1333333333334,30,boys
Nairobi City,secondary,38562,1752.8181818181818,22,girls
National,secondary,1701049,77320.40909090909,22,boys
National,secondary,1701547,94530.38888888889,18,girls
